machine_id,machine_name,machine_type,timestamp,temperature,vibration,pressure,rpm,anomaly_label
1,Motor A,Motor,2026-02-26 00:22:19,68.28,2.15,96.29,1587.5,0
1,Motor A,Motor,2026-02-26 00:27:19,69.11,1.23,96.96,1582.98,0
1,Motor A,Motor,2026-02-26 00:32:19,76.08,1.87,103.18,1486.96,0
1,Motor A,Motor,2026-02-26 00:37:19,78.18,2.37,95.75,1412.01,0
1,Motor A,Motor,2026-02-26 00:42:19,74.61,1.53,99.57,1566.08,0
1,Motor A,Motor,2026-02-26 00:47:19,77.8,1.34,97.96,1506.99,0
1,Motor A,Motor,2026-02-26 00:52:19,71.85,2.24,101.35,1430.74,0
1,Motor A,Motor,2026-02-26 00:57:19,67.04,2.12,104.87,1498.14,0
1,Motor A,Motor,2026-02-26 01:02:19,71.97,2.13,102.66,1519.65,0
1,Motor A,Motor,2026-02-26 01:07:19,74.68,2.33,95.11,1432.19,0
1,Motor A,Motor,2026-02-26 01:12:19,62.68,1.56,98.99,1508.19,0
1,Motor A,Motor,2026-02-26 01:17:19,61.05,1.05,102.54,1567.41,0
1,Motor A,Motor,2026-02-26 01:22:19,71.11,1.41,97.11,1417.96,0
1,Motor A,Motor,2026-02-26 01:27:19,60.52,2.34,104.23,1493.94,0
1,Motor A,Motor,2026-02-26 01:32:19,60.41,1.83,98.89,1506.92,0
1,Motor A,Motor,2026-02-26 01:37:19,62.25,1.06,96.27,1569.54,0
1,Motor A,Motor,2026-02-26 01:42:19,74.09,2.1,100.27,1567.52,0
1,Motor A,Motor,2026-02-26 01:47:19,71.04,1.18,104.84,1598.75,0
1,Motor A,Motor,2026-02-26 01:52:19,77.04,2.25,103.4,1470.12,0
1,Motor A,Motor,2026-02-26 01:57:19,61.08,2.08,97.2,1544.1,0
1,Motor A,Motor,2026-02-26 02:02:19,93.63,5.46,126.64,1782.6,1
1,Motor A,Motor,2026-02-26 02:07:19,64.42,1.61,103.59,1486.59,0
1,Motor A,Motor,2026-02-26 02:12:19,73.98,1.61,101.17,1533.22,0
1,Motor A,Motor,2026-02-26 02:17:19,69.84,1.1,97.82,1403.62,0
1,Motor A,Motor,2026-02-26 02:22:19,62.92,1.76,99.69,1564.44,0
1,Motor A,Motor,2026-02-26 02:27:19,91.57,5.82,124.5,1750.34,1
1,Motor A,Motor,2026-02-26 02:32:19,66.37,2.59,98.04,1532.82,0
1,Motor A,Motor,2026-02-26 02:37:19,98.35,5.15,116.31,1803.85,1
1,Motor A,Motor,2026-02-26 02:42:19,67.5,2.52,97.72,1435.38,0
1,Motor A,Motor,2026-02-26 02:47:19,64.51,1.92,101.89,1447.01,0
1,Motor A,Motor,2026-02-26 02:52:19,68.57,1.51,96.47,1398.77,0
1,Motor A,Motor,2026-02-26 02:57:19,65.11,1.36,97.57,1554.05,0
1,Motor A,Motor,2026-02-26 03:02:19,76.15,1.17,95.77,1421.77,0
1,Motor A,Motor,2026-02-26 03:07:19,67.1,2.09,104.82,1462.79,0
1,Motor A,Motor,2026-02-26 03:12:19,68.38,1.42,95.61,1481.54,0
1,Motor A,Motor,2026-02-26 03:17:19,73.97,2.34,103.73,1478.53,0
1,Motor A,Motor,2026-02-26 03:22:19,73.4,2.31,95.31,1582.2,0
1,Motor A,Motor,2026-02-26 03:27:19,73.56,1.08,97.7,1538.26,0
1,Motor A,Motor,2026-02-26 03:32:19,72.21,1.19,97.49,1492.64,0
1,Motor A,Motor,2026-02-26 03:37:19,62.11,1.26,95.82,1434.99,0
1,Motor A,Motor,2026-02-26 03:42:19,61.35,2.05,95.78,1480.14,0
1,Motor A,Motor,2026-02-26 03:47:19,70.34,1.52,104.65,1514.65,0
1,Motor A,Motor,2026-02-26 03:52:19,74.42,2.16,95.14,1507.27,0
1,Motor A,Motor,2026-02-26 03:57:19,65.33,2.4,100.79,1458.66,0
1,Motor A,Motor,2026-02-26 04:02:19,67.94,1.32,104.08,1430.24,0
1,Motor A,Motor,2026-02-26 04:07:19,100.07,3.92,125.42,1820.33,1
1,Motor A,Motor,2026-02-26 04:12:19,78.32,1.64,95.73,1430.05,0
1,Motor A,Motor,2026-02-26 04:17:19,59.81,2.32,98.8,1441.4,0
1,Motor A,Motor,2026-02-26 04:22:19,95.3,4.61,115.26,1809.31,1
1,Motor A,Motor,2026-02-26 04:27:19,68.84,1.84,97.73,1439.43,0
1,Motor A,Motor,2026-02-26 04:32:19,73.56,1.66,98.3,1517.15,0
1,Motor A,Motor,2026-02-26 04:37:19,65.24,1.02,99.83,1551.48,0
1,Motor A,Motor,2026-02-26 04:42:19,64.98,1.66,95.98,1533.3,0
1,Motor A,Motor,2026-02-26 04:47:19,75.38,2.19,103.28,1525.16,0
1,Motor A,Motor,2026-02-26 04:52:19,72.83,1.52,103.84,1551.91,0
